"Knowledge base name","Article title","Article subtitle","Article language","Article URL","Article body","Category","Subcategory","Keywords","Last modified date","Status","Archived"
"Shovels Knowledge Base","Shovels' Mailing Address","Shovels' official mailing address for correspondence","en","https://support.shovels.ai/faq/mailing-address","Shovels' official mailing address is 3515 Mt. Diablo Blvd, Unit #51, Lafayette, CA 94549.","Company","Contact Information","contact information,physical location,mailing address,postal address","1751085194893","PUBLISHED","false"
"Shovels Knowledge Base","Assessing Contractor Quality Through Data","Using data metrics to evaluate contractor quality and performance","en","https://support.shovels.ai/faq/contractor-quality-indicators","Shovels evaluates contractors based on objective data points, including the quantity of permits pulled, jurisdictional coverage, and timeframes for permit completion. These metrics can serve as indicators of a contractor's quality - for example, their experience level (how many times they've done similar work), their familiarity with specific cities, and their efficiency (how quickly they complete jobs). While Shovels focuses on these quantitative data points, customers often supplement this information with qualitative feedback from sources like Google reviews, Yelp, Thumbtack, and word-of-mouth recommendations to form a more complete picture of contractor quality.","Data","Contractor Data","completion times,contractor quality,performance metrics,contractor assessment,permit volume","1751085198656","PUBLISHED","false"
"Shovels Knowledge Base","How Monthly EDL Data Deliveries Work","Understanding the replacement model for enterprise data deliveries","en","https://support.shovels.ai/faq/edl-monthly-deliveries","For Enterprise Data License (EDL) customers, Shovels employs an overwrite approach when pushing data into data lakes such as Snowflake, Databricks, or BigQuery. Each monthly delivery is treated as a fresh table, completely replacing the previous month's data with the updated dataset. This approach simplifies data management by eliminating the need to merge incremental updates. Importantly, our permit IDs, address IDs, and contractor IDs remain static and don't change from release to release. This consistency ensures that any scripts, analyses, or processes that rely on these IDs won't be impacted by the monthly refresh. The stability of our ID system allows customers to build reliable data pipelines and maintain referential integrity in their analyses. Each monthly delivery includes all historical data plus new permits and updates, providing a complete and current view of the construction permitting landscape. For customers who need to track changes between deliveries, we recommend using the first_seen_date field in combination with status change indicators to identify new and updated records since the previous delivery.","EDL","Data Updates","EDL,data delivery,monthly updates,overwrite,data lake","1751085201809","PUBLISHED","false"
"Shovels Knowledge Base","Searching for Permits","Using geo_id to retrieve permit data effectively","en","https://support.shovels.ai/faq/api-permit-search","To search for permits in the Shovels API, you'll need to use the geo_id parameter, which serves as the unique identifier linking addresses to their associated permit data. The process follows these steps: First, use our Address Search endpoint (https://api.shovels.ai/v2/addresses/search) to find the address of interest. When the address is found, you'll receive a geo_id in the response. Then, use this geo_id to query our permits search endpoint, which will return all permits associated with that location. The geo_id system offers several advantages over direct address searching: it ensures consistent identification regardless of address formatting variations, provides a stable reference point even if address details change over time, and improves query performance. Our permit search endpoint supports additional filters including date ranges, permit types, and contractor information, allowing you to narrow results to precisely the permits you need. This two-step process of address resolution followed by permit querying ensures accurate results and optimal API performance.","API","Permit Data","API,address resolution,query parameters,permit search,geo_id","1751085202848","PUBLISHED","false"
"Shovels Knowledge Base","Understanding Shovels' Resident Data","How Shovels assembles and validates resident demographic data","en","https://support.shovels.ai/faq/resident-data-sources","Shovels' resident data features like gender, age_range, and income_range come from multiple non-LinkedIn sources. We assemble data about individuals via common linkages between a person's name, workplace, personal address, and business or personal contact information. Our data compilation process uses consensus and observation date methodology to select the most likely and current data points for each individual. The data includes both directly observed information and modeled/probabilistic data. For complete details on our data schema, you can refer to our Universal Schema documentation.","Data","Resident Data","data sources,personal information,demographic information,data compilation,resident data","1751085203845","PUBLISHED","false"
"Shovels Knowledge Base","Source of Latitude and Longitude Data","How Shovels generates accurate location coordinates","en","https://support.shovels.ai/faq/latitude-longitude-source","The latitude and longitude coordinates in Shovels' data are derived from our proprietary geocoding process. Rather than relying on a single third-party service, we perform this geocoding ourselves using multiple reference sources to ensure accuracy. Our process cross-references addresses against several authoritative datasets including the National Address Dataset from the US Census, the Open Address dataset, Simple Maps, and ESRI. This multi-source approach allows us to achieve higher accuracy rates than depending on any single geocoding service. Accurate geocoding is particularly important in the construction industry, where precise location information can impact everything from permit jurisdiction to zoning requirements. These coordinates enable our customers to perform spatial analysis, create map visualizations, calculate distances, and identify geographic patterns in construction activity. The geocoding process is part of our broader address standardization pipeline, which ensures consistent formatting and accurate location data across our entire database, regardless of how addresses may have been formatted in the original permit records.","Data","Geographic Information","geographic data,geocoding,latitude,coordinates,longitude","1751085183189","PUBLISHED","false"
"Shovels Knowledge Base","The Data Labeling and Annotation Process","How Shovels ensures accuracy in permit classification","en","https://support.shovels.ai/faq/data-labeling-process","Shovels employs a rigorous data labeling and annotation process to ensure high-quality, accurately classified permit data. Our approach involves multiple independent annotators labeling each record, with manual review and resolution in cases where their responses diverge. The validation sample size is proportionate to the representation of each category within the total dataset, typically including between 1-5% of the overall data to ensure adequate validation points for every category. A key aspect of our methodology is having annotators independently solve the task rather than validating model outputs. This prevents annotator bias and creates a ""golden dataset"" of correct answers that can be used to benchmark any new model outputs across iterations without requiring fresh human validation each time. This approach has proven particularly effective for accurately classifying permit descriptions, which often contain industry-specific terminology, abbreviations, and inconsistent formatting. Our case study on using specialist participants for data labeling (available on our blog) details how we achieved 98% accuracy in our classifications by incorporating a panel of experts from the construction industry.","Data","Data Quality","annotation,quality assurance,classification,data labeling,validation","1751085186629","PUBLISHED","false"
"Shovels Knowledge Base","Permits Without Addresses","How Shovels handles permits for properties without official addresses","en","https://support.shovels.ai/faq/permits-without-addresses","Yes, Shovels does capture permits that don't have an associated address. This situation commonly occurs with newly subdivided parcels or undeveloped land where construction needs to begin before an official address is assigned by the post office. In these cases, Shovels assigns a unique permit ID to track the permit, but there won't be an associated address ID, physical address, or geographic identifiers such as county, city, or jurisdiction codes. The only geo-identifiers included with these address-less permits will be state and jurisdiction information. These permits are still valuable data points as they often represent new construction projects at their earliest stages. For users interested in new development opportunities, these permits can provide early intelligence about upcoming construction activity. As the project progresses and an official address is assigned, we update our records to link the permit with its new address, allowing for continuous tracking throughout the construction lifecycle. This approach ensures we don't miss important permit activity, even when traditional address-based identification isn't possible.","Data","Permit Data","parcel permits,undeveloped land,address-less permits,new construction","1751085187166","PUBLISHED","false"
"Shovels Knowledge Base","Data Annotation and Validation Process","How Shovels ensures high-quality data through annotation and validation","en","https://support.shovels.ai/faq/data-annotation-process","Our data annotation process involves multiple independent annotators labeling each record. When their responses diverge, we manually review and resolve the discrepancies. The validation sample size is proportionate to each category's representation in the dataset (1-5% of overall data). To avoid bias, annotators independently solve tasks rather than validating model outputs. This approach creates a ""golden dataset"" of correct answers that can benchmark any new model outputs across iterations without requiring new validation rounds.","Data","Data Quality","quality control,data annotation,validation,model benchmarking","1751085192850","PUBLISHED","false"
"Shovels Knowledge Base","How Individual Permits are Created and Tracked","Understanding how permits are uniquely identified and updated","en","https://support.shovels.ai/faq/permit-lifecycle-tracking","Each permit in the Shovels database receives a unique permit ID that remains persistent throughout its entire lifecycle. As updates are made to the permit - such as status changes, valuation adjustments, or contractor assignments - we update the data while maintaining the same permit ID. This approach ensures a continuous record of the permit's progression without creating duplicate entries. The permit lifecycle typically flows through several stages: filing (status: in_review), approval (status: active), and completion (status: final). If a permit is abandoned or revoked, its status changes to inactive. For each status change, we update the corresponding date fields (file_date, issued_date, final_date) while maintaining the same unique identifier. This consistency allows users to track a permit's complete history without having to piece together fragments across multiple records. Our deduplication process ensures that even when jurisdictions report the same permit multiple times with different statuses, Shovels presents a single, up-to-date record with the most current information.","Data","Permit Data","permit lifecycle,status changes,permit ID,permit tracking","1751085193441","PUBLISHED","false"
"Shovels Knowledge Base","Why Flat Files Cost More Than API Access","The features that make flat file deliveries more premium than API access","en","https://support.shovels.ai/faq/flat-files-vs-api","Flat file deliveries command a higher price point than API access for several compelling reasons: they contain significantly more data fields, eliminate latency issues, enable complex SQL joins and queries, provide superior support for data science applications, and can include additional datasets like tax assessor files. Furthermore, flat files make it much easier to get complete monthly updates and track differences between time periods - a process that's considerably more challenging when using an API.","Pricing","Product Differences","flat files,data access,API,SQL joins,pricing","1751085194429","PUBLISHED","false"
"Shovels Knowledge Base","Resolving Addresses","The critical first step in accessing permit data through the API","en","https://support.shovels.ai/faq/api-address-resolution","Address resolution is the essential first step in using Shovels' API effectively. Always begin by resolving the address through our Address Search API endpoint: https://api.shovels.ai/v2/addresses/search. This endpoint searches for addresses that are associated with permits in our system and returns standardized address information along with a unique geo_id. The geo_id serves as the key to unlocking permit data in subsequent API calls. If you query an address that doesn't have any associated permits in our database, the API will return a 200 OK response with an empty items array, indicating the address was understood but no permit data exists. For optimal results, provide as much address information as possible in your query, including street number, street name, city, state, and ZIP code. Our system uses multiple verification sources to standardize addresses, ensuring consistent results even when input formats vary. This standardization process is particularly valuable in the construction industry, where address formatting can be inconsistent across different jurisdictions and permit applications.","API","Address Resolution","search endpoint,address standardization,API,address resolution,geo_id","1751085195482","PUBLISHED","false"
"Shovels Knowledge Base","Error Handling for Geo ID Queries","Understanding and handling geo_id errors in API requests","en","https://support.shovels.ai/faq/error-handling-geo-id","If you provide an invalid geo_id when querying permits, you'll typically receive a 422 Unprocessable Entity response with the message: ""Invalid geolocation ID value. Have you resolved your address into Shovels geolocation ID?"" Note that if the format is technically valid but doesn't correspond to any known address or permit, you'll receive no error but the response will contain no results.","API","Error Management","troubleshooting,API errors,error handling,geo_id","1751085197362","PUBLISHED","false"
"Shovels Knowledge Base","Tracking New vs. Modified Records in EDL","How to distinguish between new and modified records in monthly data deliveries","en","https://support.shovels.ai/faq/edl-record-change-tracking","Currently, there is no specific flag indicating changes in the records. However, there is a first_seen_date in the PERMITS table which could be used to determine whether a record is new or pre-existing.","EDL","Data Updates","record tracking,data management,first seen date,data changes","1751085191852","PUBLISHED","false"
"Shovels Knowledge Base","The ""is_representative"" Field Meaning","Understanding contractor group representation in data deliveries","en","https://support.shovels.ai/faq/edl-representative-field","In Shovels' Enterprise Data License (EDL) deliveries, the ""is_representative"" field serves an important function in understanding contractor relationships. This boolean field indicates whether a particular contractor record is the main representative of a contractor group_id. The group_id is a unique identifier that links together multiple contractors operating under the same parent organization. When is_representative=TRUE, that contractor record contains the canonical or preferred information for the entire group. This feature is particularly valuable for enterprise customers analyzing large contractor datasets, as it helps prevent double-counting of organizations that operate under multiple names or licenses. For example, a national HVAC company might pull permits under regional subsidiaries, but our grouping algorithm identifies these relationships and designates one record as the representative. This enables more accurate market analysis and prevents reaching out to the same organization multiple times under different names.","EDL","Data Structure","contractor groups,EDL,organization structure,data relationships","1751085198021","PUBLISHED","false"
"Shovels Knowledge Base","Identifying Independent Contractors","Reliable methods to identify sole proprietors and individual contractors","en","https://support.shovels.ai/faq/api-independent-contractor-identification","Identifying independent contractors (ICs) in the Shovels API can be accomplished in several ways. The most reliable method is through the biz_type field, though it has limited coverage across our dataset. As a practical heuristic, if a business name appears to be a person's name (e.g., ""John Smith"" rather than ""Smith Construction""), it often indicates an independent contractor. Other signals that may suggest an independent contractor include: having only a single contact person across all permits, a low permit volume compared to larger firms, and absence of multiple employee records. Independent contractors typically represent a significant portion of the contracting ecosystem, especially in specialized trades like electrical work or plumbing. Understanding which contractors are independent professionals versus larger companies allows for more tailored marketing approaches and helps in accurate market segmentation for products or services targeting the construction industry.","API","Contractor Data","independent contractors,API,business type,contractor identification","1751085185112","PUBLISHED","false"
"Shovels Knowledge Base","Contractor Address Information Availability","Full USPS addresses available through API responses","en","https://support.shovels.ai/faq/contractor-address-information","Shovels provides complete USPS-standardized addresses for contractors when available through our API responses. This includes street address, city, state, ZIP code, and in many cases unit or suite numbers. Our addresses undergo rigorous verification against multiple sources including the National Address Dataset from the US Census, Open Address dataset, Simple Maps, and ESRI. This multi-source verification ensures the highest possible accuracy for contractor location data. The standardized format makes it easy to integrate with mapping services, CRM systems, or marketing platforms. For enterprise customers using our EDL service, these addresses are delivered in a consistent format that requires minimal cleaning before use in your data pipeline.","Data","Contractor Data","USPS,contractor address,standardized addresses,location data","1751085188190","PUBLISHED","false"
"Shovels Knowledge Base","Historical Data Coverage","How far back Shovels' historical permit data extends","en","https://support.shovels.ai/faq/data-history","Shovels' data coverage extends back to at least 2010 for all jurisdictions, with many jurisdictions offering data that goes even further back. This timeframe was a technical architecture decision based on the majority of our customers' feedback and use cases. It's worth noting that in some cases, jurisdictions don't pull historical data into their online systems, which can limit how far back certain records go. However, our coverage of the past decade provides sufficient historical context for most analysis needs.","Data","Data Quality","historical data,data timeframe,temporal coverage,data history,2010","1751085188755","PUBLISHED","false"
"Shovels Knowledge Base","Difference Between Permit Search and Contractor Search","The different results returned by permit versus contractor searches","en","https://support.shovels.ai/faq/permit-contractor-search-difference","Permit search returns permits that were pulled on specific addresses in the geographic area you searched. Contractor search returns B2B contact information, license data, and classification data about the contractors who pulled those permits. It's important to note that not every permit will have an associated contractor. This depends on whether the county/city requires the permit application to include contractor information, and also on whether the contractor chooses to provide this information when applying.","Web Application","User Interface","data retrieval,contractor search,permit search,search functionality","1751085189768","PUBLISHED","false"
"Shovels Knowledge Base","Differences Between Primary Phone and Phone Fields","How Shovels organizes and prioritizes contractor phone numbers","en","https://support.shovels.ai/faq/phone-field-differences","Shovels differentiates between two important phone number fields in our data: primary_phone and phone. The primary_phone field displays the most frequently used phone number across all permits for a specific contractor, giving you the highest probability contact number for reaching the business. The phone field, on the other hand, provides a comma-separated list of all phone numbers we've encountered for that contractor, ordered by frequency of use. This comprehensive approach gives you both a prioritized main contact number and alternative options if needed. For example, if a contractor has used three different phone numbers across their permit history, with one appearing on 70% of permits and the others on 15% each, the most common number would be designated as the primary_phone, while all three would be listed in the phone field. This dual approach maximizes your chances of successful contractor outreach.","Data","Employee Data","contact information,phone numbers,multiple contacts,primary phone","1751085191393","PUBLISHED","false"
"Shovels Knowledge Base","NAICS, SIC, and Industry Classification Data","Understanding the sources and limitations of industry classification data","en","https://support.shovels.ai/faq/industry-classification-data","Business industry classifications come from self-reported data, typically through registration or insurance-related transactions. These classifications are quite broad, and companies in higher-risk occupations often use multiple industry identifiers to reduce their workers' compensation insurance liability. There is no central authority governing these categories, so the Primary_industry field should be taken with a grain of salt. NAICS codes are a more modern and specific version of SIC codes, but not as widely adopted, which is why both are included in the data.","Data","Business Information","business categories,SIC,industry classification,NAICS","1751085196208","PUBLISHED","false"
"Shovels Knowledge Base","Understanding the ""Homeowner"" Field in the Residents Table","How the probabilistic homeowner data is determined and validated","en","https://support.shovels.ai/faq/homeowner-field-residents","The probabilistic homeowner feature in Shovels' residents data is sourced from our data co-op members and represents a consensus-driven determination of property ownership. This data feature is compiled through multiple validation methods to ensure reliability: Consensus: We require 3+ different data signals to confirm data linkages, with reliability ensured through exhaustive validation methods and confirmation from actual usage. For example, the presence of a unit number is considered as part of this compilation. Conformation: This process ensures that data within the ""Consensus"" realm not only represents frequent occurrences but also adheres to proper formatting and data standards, and cannot be invalidated using existing signals. We also offer additional features in our ""Consumer Attributes"" dataset that includes information such as ""number of kids,"" ""grandparent in household,"" etc. Users can also leverage other available features like ""income range,"" ""children,"" and ""net worth"" to identify trends that could help determine homeownership likelihood at certain demographic levels.","Data","Resident Data","homeowner,data reliability,resident attributes,consensus validation,property ownership","1751085184186","PUBLISHED","false"
"Shovels Knowledge Base","How Filters Work in Shovels Online","Understanding the current limitations of permit counting with filters","en","https://support.shovels.ai/faq/webapp-filter-functionality","When using filters in Shovels Online, it's important to understand how the system processes and displays contractor data. The platform shows contractors based on permits pulled within your specified timeframe and meeting your filter criteria. However, users should note that the count of permits displayed alongside each contractor remains static regardless of the filters applied. This means if a contractor has pulled 100 permits total but only 10 meet your current filter criteria, the platform will still show ""100 permits"" next to their name. We recognize this can be potentially misleading and are working on implementing a dynamic counting system that adjusts according to the applied filters. In the meantime, users can click into individual contractor profiles to see the detailed breakdown of permits that match specific criteria. This functionality is particularly useful for identifying contractors who specialize in certain project types or work in specific geographic areas, even if the count doesn't automatically update with filter changes.","Web Application","User Interface","permit counts,Shovels Online,filters,user interface,search functionality","1751085186136","PUBLISHED","false"
"Shovels Knowledge Base","Job Titles for Contractor Contacts","Accessing job titles across Shovels products","en","https://support.shovels.ai/faq/contractor-job-titles","Yes, Shovels provides job titles for contractor contacts across all our product offerings. In the API, job titles are available through the employees endpoint, though coverage varies as this information isn't always included in public permit records. For Shovels Online users, you can access job titles by clicking into contractor profiles, where employee information is displayed with their respective roles when available. EDL customers can receive job titles as part of custom reports, with an example available in our documentation. Job titles help you identify decision-makers within contracting companies, allowing for more targeted outreach. Common titles in our database include Owner, Project Manager, Office Manager, and various trade-specific roles like Master Electrician or General Contractor. This information is particularly valuable for sales teams who need to reach specific roles within contracting businesses.","Data","Employee Data","job titles,contractor contacts,roles,decision-makers,employees","1751085190845","PUBLISHED","false"
"Shovels Knowledge Base","Residential vs. Commercial Permit Distribution","The breakdown of residential versus commercial permits in Shovels' data","en","https://support.shovels.ai/faq/permit-split","Shovels' data includes permits across all asset classes, with a broad distribution of approximately 60% residential permits and 40% commercial permits. This comprehensive coverage ensures that customers have access to permit data across the full spectrum of construction and renovation activities.","Data","Permit Data","asset classes,residential permits,permit distribution,commercial permits","1751085192355","PUBLISHED","false"
"Shovels Knowledge Base","Data Refresh Frequency and Volume","How often Shovels updates its data and the volume of new information","en","https://support.shovels.ai/faq/data-refresh-frequency","<p>Shovels currently refreshes data twice a month, on the 1st and 15th. Nationwide, we add between 5-10 million new records to the dataset each month, along with 1-5 million status updates to existing records. When a permit status or other data field changes, the jurisdiction updates it in their platform, which allows us to access it. We then clean up the data, incorporate it into our system, and release the updates on the 1st and 15th.</p>","Data","Data Quality","data volume,status updates,new records,update frequency,data refresh","1766111677021","PUBLISHED","false"
"Shovels Knowledge Base","Size of Data Files","Expected file size for Shovels data deliveries","en","https://support.shovels.ai/faq/file-size","Shovels data is typically delivered as 15-20 GB of Parquet files, optimized for efficient data processing and analysis in modern data environments.","Data","Technical Specifications","data volume,Parquet,file size,technical specifications","1751085196739","PUBLISHED","false"
"Shovels Knowledge Base","How Shovels Verifies Data Accuracy","The methods Shovels uses to ensure data accuracy and reliability","en","https://support.shovels.ai/faq/data-verification-methods","Shovels verifies data accuracy through multiple external sources. For address standardization, we cross-reference details using four different address sources: the National Address Dataset from the US Census, the Open Address dataset, Simple Maps, and ESRI. For contractor verification, we match contractor information against publicly available state license files, ensuring that the contractors in our database are properly licensed and legitimate operators in their respective fields.","Data","Data Quality","data quality,accuracy,address standardization,data verification,contractor validation","1751085199138","PUBLISHED","false"
"Shovels Knowledge Base","Contact Names and Emails Discrepancy","Understanding the relationship between contact names and primary emails","en","https://support.shovels.ai/faq/contact-name-email-discrepancy","When working with Shovels data, you may notice that contact names and email addresses don't always align perfectly. This is because our system captures data differently for these two fields. Contact names are specific to individual permits and represent the name provided on that particular permit application. However, primary_email addresses are determined by analyzing frequency across all permits for a given contractor. For example, if John Smith is listed as the contact on a specific permit, but jane.doe@company.com appears most frequently across all of that contractor's permits, the primary_email field will show Jane's email rather than John's. This approach ensures you have the most actively used contact point for the company, which increases the likelihood of successful communication. For customers needing person-specific email matching, we recommend using our advanced contractor profiles which provide more granular employee contact information when available.","Data","Contractor Data","contact information,email addresses,contact names,data relationships","1751085199675","PUBLISHED","false"
"Shovels Knowledge Base","Filtering Contractors by Company Size","How to use employee count ranges in the API","en","https://support.shovels.ai/faq/api-contractor-filtering","The Shovels API provides comprehensive data about contractors, including their company size. When querying our contractor endpoints, you'll receive employee count ranges in the response payload, which allows you to filter contractors based on specific size requirements. For example, you might want to target only small businesses with fewer than 10 employees, or perhaps you're looking for enterprise-level contractors with 100+ employees. Our size classifications are determined through multiple data points, including business registrations, permit frequency, and other proprietary indicators to ensure accuracy. This feature is particularly useful for sales teams who need to segment their outreach based on company size.","API","Contractor Data","company size,employee count,contractors,API,filtering","1751085201285","PUBLISHED","false"
